target name	accession	query name	description of target
Bactofilin	PF04519.16	BGC0001785|c1|9379-10599|+|ASZ00138.1|glucose-1-phosphate_adenylyltransferase|ASZ00138.1	Polymer-forming cytoskeletal                
GFO_IDH_MocA	PF01408.25	BGC0001785|c1|10846-11814|+|ASZ00139.1|NADH-dependent_dehydrogenase|ASZ00139.1	Oxidoreductase family, NAD-binding Rossmann fold             
GFO_IDH_MocA_C	PF02894.20	BGC0001785|c1|10846-11814|+|ASZ00139.1|NADH-dependent_dehydrogenase|ASZ00139.1	Oxidoreductase family, C-terminal alpha/beta domain             
F420_oxidored	PF03807.20	BGC0001785|c1|10846-11814|+|ASZ00139.1|NADH-dependent_dehydrogenase|ASZ00139.1	NADP oxidoreductase coenzyme F420-dependent              
CoA_binding_2	PF13380.9	BGC0001785|c1|10846-11814|+|ASZ00139.1|NADH-dependent_dehydrogenase|ASZ00139.1	CoA binding domain               
NAD_binding_3	PF03447.19	BGC0001785|c1|10846-11814|+|ASZ00139.1|NADH-dependent_dehydrogenase|ASZ00139.1	Homoserine dehydrogenase, NAD binding domain             
2-Hacid_dh_C	PF02826.22	BGC0001785|c1|10846-11814|+|ASZ00139.1|NADH-dependent_dehydrogenase|ASZ00139.1	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain           
Shikimate_DH	PF01488.23	BGC0001785|c1|10846-11814|+|ASZ00139.1|NADH-dependent_dehydrogenase|ASZ00139.1	Shikimate / quinate 5-dehydrogenase              
GFO_IDH_MocA_C	PF02894.20	BGC0001785|c1|11823-12806|+|ASZ00140.1|oxidoreductase|ASZ00140.1	Oxidoreductase family, C-terminal alpha/beta domain             
GFO_IDH_MocA	PF01408.25	BGC0001785|c1|11823-12806|+|ASZ00140.1|oxidoreductase|ASZ00140.1	Oxidoreductase family, NAD-binding Rossmann fold             
FMN_red	PF03358.18	BGC0001785|c1|12889-13452|+|ASZ00141.1|NADPH-dependent_reductase|ASZ00141.1	NADPH-dependent FMN reductase               
Flavodoxin_2	PF02525.20	BGC0001785|c1|12889-13452|+|ASZ00141.1|NADPH-dependent_reductase|ASZ00141.1	Flavodoxin-like fold                
p450	PF00067.25	BGC0001785|c1|13481-14773|+|ASZ00142.1|cytochrome_P450|ASZ00142.1	Cytochrome P450                
Methyltransf_25	PF13649.9	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Methyltransferase domain                
Methyltransf_11	PF08241.15	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Methyltransferase domain                
Methyltransf_12	PF08242.15	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Methyltransferase domain                
Methyltransf_31	PF13847.9	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Methyltransferase domain                
Methyltransf_23	PF13489.9	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Methyltransferase domain                
Ubie_methyltran	PF01209.21	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	ubiE/COQ5 methyltransferase family               
TPMT	PF05724.14	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Thiopurine S-methyltransferase (TPMT)               
CMAS	PF02353.23	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Mycolic acid cyclopropane synthetase              
NodS	PF05401.14	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Nodulation protein S (NodS)              
MTS	PF05175.17	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Methyltransferase small domain               
TehB	PF03848.17	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Tellurite resistance protein TehB              
PrmA	PF06325.16	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Ribosomal protein L11 methyltransferase (PrmA)             
Mur_ligase	PF01225.28	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Mur ligase family, catalytic domain             
Methyltransf_32	PF13679.9	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Methyltransferase domain                
CheR	PF01739.21	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	CheR methyltransferase, SAM binding domain             
DUF938	PF06080.15	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Protein of unknown function (DUF938)             
Methyltransf_15	PF09445.13	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	RNA cap guanine-N2 methyltransferase              
PCMT	PF01135.22	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)               
UPF0020	PF01170.21	BGC0001785|c1|15159-15767|+|ASZ00143.1|type_11_methyltransferase|ASZ00143.1	Putative RNA methylase family UPF0020             
p450	PF00067.25	BGC0001785|c1|15800-17005|+|ASZ00144.1|cytochrome_P450|ASZ00144.1	Cytochrome P450                
PapA_C	PF16911.8	BGC0001785|c1|17106-18275|-|ASZ00145.1|acyltransferase_PapA5|ASZ00145.1	Phthiocerol/phthiodiolone dimycocerosyl transferase C-terminus              
p450	PF00067.25	BGC0001785|c1|18765-19958|+|ASZ00146.1|cytochrome_P450|ASZ00146.1	Cytochrome P450                
PnpCD_PnpD_N	PF18191.4	BGC0001785|c1|18765-19958|+|ASZ00146.1|cytochrome_P450|ASZ00146.1	Hydroquinone 1,2-dioxygenase large subunit N-terminal             
ketoacyl-synt	PF00109.29	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Acyl transferase domain               
Ketoacyl-synt_C	PF02801.25	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Beta-ketoacyl synthase, C-terminal domain              
KR	PF08659.13	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	KR domain                
AMP-binding	PF00501.31	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	AMP-binding enzyme                
PP-binding	PF00550.28	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Phosphopantetheine attachment site               
KAsynt_C_assoc	PF16197.8	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Ketoacyl-synthetase C-terminal extension               
PS-DH	PF14765.9	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Polyketide synthase dehydratase               
Thiolase_N	PF00108.26	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Thiolase, N-terminal domain               
adh_short	PF00106.28	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	short chain dehydrogenase               
AMP-binding_C	PF13193.9	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	AMP-binding enzyme C-terminal domain              
PKS_DE	PF18369.4	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Polyketide synthase dimerisation element domain             
adh_short_C2	PF13561.9	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Enoyl-(Acyl carrier protein) reductase              
Epimerase	PF01370.24	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	NAD dependent epimerase/dehydratase family              
ACP_syn_III	PF08545.13	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III              
Thiolase_C	PF02803.21	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Thiolase, C-terminal domain               
SAT	PF16073.8	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
GDP_Man_Dehyd	PF16363.8	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	GDP-mannose 4,6 dehydratase               
GBP_PSP	PF02425.18	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Paralytic/GBP/PSP peptide                
SelB-wing_2	PF09106.14	BGC0001785|c1|20415-37088|+|ASZ00147.1|polyketide_synthase|ASZ00147.1	Elongation factor SelB, winged helix             
ketoacyl-synt	PF00109.29	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Acyl transferase domain               
KR	PF08659.13	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	KR domain                
PS-DH	PF14765.9	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Polyketide synthase dehydratase               
Ketoacyl-synt_C	PF02801.25	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Beta-ketoacyl synthase, C-terminal domain              
KAsynt_C_assoc	PF16197.8	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Phosphopantetheine attachment site               
adh_short	PF00106.28	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	short chain dehydrogenase               
Thiolase_N	PF00108.26	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Thiolase, N-terminal domain               
Docking	PF08990.14	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Erythronolide synthase docking domain              
Polysacc_synt_2	PF02719.18	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Polysaccharide biosynthesis protein               
GDP_Man_Dehyd	PF16363.8	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	GDP-mannose 4,6 dehydratase               
Epimerase	PF01370.24	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	NAD dependent epimerase/dehydratase family              
SAT	PF16073.8	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
ACP_syn_III	PF08545.13	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III              
NmrA	PF05368.16	BGC0001785|c1|37120-47883|+|ASZ00148.1|polyketide_synthase|ASZ00148.1	NmrA-like family                
Acyl_transf_1	PF00698.24	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Acyl transferase domain               
ketoacyl-synt	PF00109.29	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Beta-ketoacyl synthase, N-terminal domain              
PS-DH	PF14765.9	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Polyketide synthase dehydratase               
KR	PF08659.13	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	KR domain                
Ketoacyl-synt_C	PF02801.25	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Beta-ketoacyl synthase, C-terminal domain              
KAsynt_C_assoc	PF16197.8	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Phosphopantetheine attachment site               
adh_short	PF00106.28	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	short chain dehydrogenase               
Thiolase_N	PF00108.26	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Thiolase, N-terminal domain               
Sacchrp_dh_NADP	PF03435.21	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Saccharopine dehydrogenase NADP binding domain             
ACP_syn_III	PF08545.13	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III              
SAT	PF16073.8	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
Shikimate_DH	PF01488.23	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	Shikimate / quinate 5-dehydrogenase              
Retrotran_gag_2	PF14223.9	BGC0001785|c1|48086-58798|+|ASZ00149.1|polyketide_synthase|ASZ00149.1	gag-polypeptide of LTR copia-type              
ketoacyl-synt	PF00109.29	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Acyl transferase domain               
PS-DH	PF14765.9	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Polyketide synthase dehydratase               
KR	PF08659.13	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	KR domain                
Ketoacyl-synt_C	PF02801.25	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Beta-ketoacyl synthase, C-terminal domain              
KAsynt_C_assoc	PF16197.8	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Phosphopantetheine attachment site               
adh_short	PF00106.28	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	short chain dehydrogenase               
Thiolase_N	PF00108.26	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Thiolase, N-terminal domain               
adh_short_C2	PF13561.9	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Enoyl-(Acyl carrier protein) reductase              
Docking	PF08990.14	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Erythronolide synthase docking domain              
SAT	PF16073.8	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
ACP_syn_III	PF08545.13	BGC0001785|c1|58958-64522|+|ASZ00150.1|polyketide_synthase|ASZ00150.1	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III              
ketoacyl-synt	PF00109.29	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Acyl transferase domain               
PS-DH	PF14765.9	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Polyketide synthase dehydratase               
KR	PF08659.13	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	KR domain                
Ketoacyl-synt_C	PF02801.25	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Beta-ketoacyl synthase, C-terminal domain              
KAsynt_C_assoc	PF16197.8	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Phosphopantetheine attachment site               
adh_short	PF00106.28	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	short chain dehydrogenase               
Thiolase_N	PF00108.26	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Thiolase, N-terminal domain               
Docking	PF08990.14	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Erythronolide synthase docking domain              
Polysacc_synt_2	PF02719.18	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Polysaccharide biosynthesis protein               
Shikimate_DH	PF01488.23	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Shikimate / quinate 5-dehydrogenase              
ACP_syn_III	PF08545.13	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III              
CorC_HlyC	PF03471.20	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Transporter associated domain               
SAT	PF16073.8	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
Retrotran_gag_2	PF14223.9	BGC0001785|c1|64592-75304|+|ASZ00151.1|polyketide_synthase|ASZ00151.1	gag-polypeptide of LTR copia-type              
Acetyltransf_2	PF00797.20	BGC0001785|c1|75408-76202|+|ASZ00152.1|amide_synthase|ASZ00152.1	N-acetyltransferase                 
DHQ_synthase	PF01761.23	BGC0001785|c1|76251-77324|+|ASZ00153.1|3-dehydroquinate_synthase|ASZ00153.1	3-dehydroquinate synthase                
Fe-ADH_2	PF13685.9	BGC0001785|c1|76251-77324|+|ASZ00153.1|3-dehydroquinate_synthase|ASZ00153.1	Iron-containing alcohol dehydrogenase               
Fe-ADH	PF00465.22	BGC0001785|c1|76251-77324|+|ASZ00153.1|3-dehydroquinate_synthase|ASZ00153.1	Iron-containing alcohol dehydrogenase               
DAHP_synth_2	PF01474.19	BGC0001785|c1|77495-78649|+|ASZ00154.1|NAHP_synthase|ASZ00154.1	Class-II DAHP synthetase family              
Shikimate_dh_N	PF08501.14	BGC0001785|c1|78657-79469|+|ASZ00155.1|shikimate_dehydrogenase|ASZ00155.1	Shikimate dehydrogenase substrate binding domain             
ThiF	PF00899.24	BGC0001785|c1|78657-79469|+|ASZ00155.1|shikimate_dehydrogenase|ASZ00155.1	ThiF family                
2-Hacid_dh_C	PF02826.22	BGC0001785|c1|78657-79469|+|ASZ00155.1|shikimate_dehydrogenase|ASZ00155.1	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain           
HDPD	PF02924.17	BGC0001785|c1|78657-79469|+|ASZ00155.1|shikimate_dehydrogenase|ASZ00155.1	Bacteriophage lambda head decoration protein D            
DegT_DnrJ_EryC1	PF01041.20	BGC0001785|c1|79685-80845|+|ASZ00156.1|AHBA_synthase|ASZ00156.1	DegT/DnrJ/EryC1/StrS aminotransferase family               
Aminotran_1_2	PF00155.24	BGC0001785|c1|79685-80845|+|ASZ00156.1|AHBA_synthase|ASZ00156.1	Aminotransferase class I and II             
Beta_elim_lyase	PF01212.24	BGC0001785|c1|79685-80845|+|ASZ00156.1|AHBA_synthase|ASZ00156.1	Beta-eliminating lyase                
Cys_Met_Meta_PP	PF01053.23	BGC0001785|c1|79685-80845|+|ASZ00156.1|AHBA_synthase|ASZ00156.1	Cys/Met metabolism PLP-dependent enzyme              
PALP	PF00291.28	BGC0001785|c1|79685-80845|+|ASZ00156.1|AHBA_synthase|ASZ00156.1	Pyridoxal-phosphate dependent enzyme               
GFO_IDH_MocA_C	PF02894.20	BGC0001785|c1|81127-81942|+|ASZ00157.1|oxidoreductase|ASZ00157.1	Oxidoreductase family, C-terminal alpha/beta domain             
HAD_2	PF13419.9	BGC0001785|c1|82095-82679|+|ASZ00158.1|phosphoglycolate_phosphatase|ASZ00158.1	Haloacid dehalogenase-like hydrolase               
Hydrolase	PF00702.29	BGC0001785|c1|82095-82679|+|ASZ00158.1|phosphoglycolate_phosphatase|ASZ00158.1	haloacid dehalogenase-like hydrolase               
Hydrolase_like	PF13242.9	BGC0001785|c1|82095-82679|+|ASZ00158.1|phosphoglycolate_phosphatase|ASZ00158.1	HAD-hyrolase-like                 
HAD	PF12710.10	BGC0001785|c1|82095-82679|+|ASZ00158.1|phosphoglycolate_phosphatase|ASZ00158.1	haloacid dehalogenase-like hydrolase               
ROK	PF00480.23	BGC0001785|c1|82699-83652|+|ASZ00159.1|AHBA_kinase|ASZ00159.1	ROK family                
Glucokinase	PF02685.19	BGC0001785|c1|82699-83652|+|ASZ00159.1|AHBA_kinase|ASZ00159.1	Glucokinase                 
DUF5304	PF17230.5	BGC0001785|c1|82699-83652|+|ASZ00159.1|AHBA_kinase|ASZ00159.1	Family of unknown function (DUF5304)             
p450	PF00067.25	BGC0001785|c1|83977-85221|+|ASZ00160.1|cytochrome_P450|ASZ00160.1	Cytochrome P450                
FAD_binding_3	PF01494.22	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	FAD binding domain               
DAO	PF01266.27	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	FAD dependent oxidoreductase               
Pyr_redox_2	PF07992.17	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	Pyridine nucleotide-disulphide oxidoreductase               
Pyr_redox	PF00070.30	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	Pyridine nucleotide-disulphide oxidoreductase               
NAD_binding_8	PF13450.9	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	NAD(P)-binding Rossmann-like domain               
Lycopene_cycl	PF05834.15	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	Lycopene cyclase protein               
Thi4	PF01946.20	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	Thi4 family                
FAD_oxidored	PF12831.10	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	FAD dependent oxidoreductase               
HI0933_like	PF03486.17	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	HI0933-like protein                
Glu_dehyd_C	PF16912.8	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	Glucose dehydrogenase C-terminus               
3HCDH_N	PF02737.21	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain             
XdhC_C	PF13478.9	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	XdhC Rossmann domain               
FAD_binding_2	PF00890.27	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	FAD binding domain               
NAD_binding_7	PF13241.9	BGC0001785|c1|85273-86934|-|ASZ00161.1|3-(3-hydroxyphenyl)propionate_hydroxylase|ASZ00161.1	Putative NAD(P)-binding                
p450	PF00067.25	BGC0001785|c1|87228-88481|+|ASZ00162.1|cytochrome_P450|ASZ00162.1	Cytochrome P450                
DUF4350	PF14258.9	BGC0001785|c1|87228-88481|+|ASZ00162.1|cytochrome_P450|ASZ00162.1	Domain of unknown function (DUF4350)             
Methyltransf_2	PF00891.21	BGC0001785|c1|88593-89660|-|ASZ00163.1|SAM-dependent_methyltransferase|ASZ00163.1	O-methyltransferase domain                
Methyltransf_25	PF13649.9	BGC0001785|c1|88593-89660|-|ASZ00163.1|SAM-dependent_methyltransferase|ASZ00163.1	Methyltransferase domain                
Dimerisation2	PF16864.8	BGC0001785|c1|88593-89660|-|ASZ00163.1|SAM-dependent_methyltransferase|ASZ00163.1	Dimerisation domain                
Methyltransf_12	PF08242.15	BGC0001785|c1|88593-89660|-|ASZ00163.1|SAM-dependent_methyltransferase|ASZ00163.1	Methyltransferase domain                
Dimerisation	PF08100.14	BGC0001785|c1|88593-89660|-|ASZ00163.1|SAM-dependent_methyltransferase|ASZ00163.1	Dimerisation domain                
MTS	PF05175.17	BGC0001785|c1|88593-89660|-|ASZ00163.1|SAM-dependent_methyltransferase|ASZ00163.1	Methyltransferase small domain               
CheR	PF01739.21	BGC0001785|c1|88593-89660|-|ASZ00163.1|SAM-dependent_methyltransferase|ASZ00163.1	CheR methyltransferase, SAM binding domain             
Methyltransf_11	PF08241.15	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Methyltransferase domain                
Methyltransf_25	PF13649.9	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Methyltransferase domain                
Methyltransf_23	PF13489.9	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Methyltransferase domain                
Methyltransf_12	PF08242.15	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Methyltransferase domain                
Methyltransf_31	PF13847.9	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Methyltransferase domain                
Ubie_methyltran	PF01209.21	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	ubiE/COQ5 methyltransferase family               
Methyltransf_29	PF03141.19	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Putative S-adenosyl-L-methionine-dependent methyltransferase               
CMAS	PF02353.23	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Mycolic acid cyclopropane synthetase              
MTS	PF05175.17	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Methyltransferase small domain               
NodS	PF05401.14	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Nodulation protein S (NodS)              
CheR	PF01739.21	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	CheR methyltransferase, SAM binding domain             
UPF0146	PF03686.16	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Uncharacterised protein family (UPF0146)              
TehB	PF03848.17	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	Tellurite resistance protein TehB              
DREV	PF05219.15	BGC0001785|c1|89737-90540|-|ASZ00164.1|type_11_methyltransferase|ASZ00164.1	DREV methyltransferase                
